Raman Shift,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA
1299.84,-0.13492902954027836,-0.15271377526462687,-0.14414968753010102,-0.13696926571243032,-0.12954748718538844,-0.1343258228215808,-0.12284641788848058,-0.13429933243626077,-0.13827368654717656,-0.14551608337411967,-0.12248012861044312,-0.1691031872798905,-0.1444232772015926,-0.11265644341778425,-0.10771773182837838,-0.07152994633757027,-0.10685353632825352,-0.17367048302263513,-0.12043740860552991,-0.13886832035852478,-0.18314485148693757,-0.16878272679605763,-0.16005231692657457,-0.2882954770964267,-0.17560262455543652,-0.1612075579421738,-0.12259999286295904,-0.08909441698504039,-0.1514358542841725,-0.1477511048664487,-0.17870829030056054,-0.14132249178744957,-0.21621337287853265,-0.15519238924403086,-0.14958884029139347,-0.1677492733652309,-0.12909534342320708,-0.1447030492585649,-0.12029714992188027,-0.09205149655780522,-0.15348192555086948,-0.15210815794987892,-0.1553978939873114,-0.1306651478613393,-0.14623822415270174,-0.09363305708190214,-0.10600749255065098,-0.10572166440816382,-0.10426201339340375,-0.09205149655780522,-0.12029714992188027,-0.1447030492585649,-0.12909534342320708,-0.07096585529861472,-0.12521890572926606,-0.15689653613078014,-0.14254374201142023,-0.1372242588029818,-0.1365424593832161,-0.137989652857548,-0.10662793019809547,-0.1345157406664529,-0.14204025551819283,-0.14204131975455206,-0.21488183122901514,-0.1446586436576283,-0.13350018501136882,-0.14152711764654338,-0.14736498215620072,-0.17227361951483738,-0.15732612624668946,-0.15518329451967663,-0.14371214978432756,-0.1475708822786655,-0.12664932797393694,-0.14697205390648496,-0.1338002414233247,-0.13659918179387287,-0.138948089124077,-0.14728168419284876,-0.12415872298305329,-0.0871286932842553,-0.04176024371508472,-0.1292513335546317,-0.13193077432694036,-0.09210435569794395,-0.11443398709309469,-0.13418365914023866,-0.10198845292342903,-0.12185145552957907,-0.15896303328758776,-0.15519331145865942,-0.16126044431606826,-0.1449220470101302,-0.15491217530156134,-0.20699172619540424,-0.19486359639625742,-0.17161675795942757,-0.17553239267135423,-0.1468489389513458,-0.20074586639466763,-0.13510393650921737,-0.10823888208628757,-0.18958569907096465,-0.1573724632129898,-0.21032445891178111,-0.143288133432454,-0.08752789762357199,-0.1249475819184641,-0.14811393267338446
1295.98,-0.12872356709679855,-0.14694261515288226,-0.13759488246168988,-0.13696926571243032,-0.12321092531219006,-0.1343258228215808,-0.11668038146936763,-0.13429933243626077,-0.13257318572757837,-0.14551608337411967,-0.12248012861044312,-0.17484298214839852,-0.15084696981994894,-0.1187487955693353,-0.11803957836721561,-0.07152994633757027,-0.11269552873498513,-0.17890610438662594,-0.1269944941368687,-0.14551219420107128,-0.19004929731389797,-0.1750230740974129,-0.1737485108050966,-0.2882954770964267,-0.18704858949860428,-0.17444819274683113,-0.12836534622508372,-0.08909441698504039,-0.15684015349150762,-0.16320651771345318,-0.18471658626756213,-0.14132249178744957,-0.2237321615920973,-0.16199932815370344,-0.1574337055151017,-0.1677492733652309,-0.1209088094500281,-0.13728563118046977,-0.12691434152548162,-0.09205149655780522,-0.15348192555086948,-0.15210815794987892,-0.1553978939873114,-0.1306651478613393,-0.14623822415270174,-0.09363305708190214,-0.10600749255065098,-0.1119032909627641,-0.11135219390315575,-0.09205149655780522,-0.12691434152548162,-0.13728563118046977,-0.1209088094500281,-0.07829095902154186,-0.13233949477924134,-0.15689653613078014,-0.14254374201142023,-0.1372242588029818,-0.1365424593832161,-0.1447803108530614,-0.11472100047586208,-0.1345157406664529,-0.14204025551819283,-0.14902989604188704,-0.20730462379869727,-0.1446586436576283,-0.13350018501136882,-0.14152711764654338,-0.1387570426093832,-0.18021062029579268,-0.1488552763751466,-0.15518329451967663,-0.15079037395808736,-0.1475708822786655,-0.11908334820730399,-0.13967335683218157,-0.12572043329608393,-0.13659918179387287,-0.13016056132541914,-0.13909742532295408,-0.11631076480422173,-0.09393835067520911,-0.04176024371508472,-0.1292513335546317,-0.13761828375813126,-0.09210435569794395,-0.11443398709309469,-0.14159607090577592,-0.10198845292342903,-0.12185145552957907,-0.17564595291202892,-0.16524597163342072,-0.16670874693951038,-0.15181188020809253,-0.16158058019864843,-0.21192210729574265,-0.20436319672057499,-0.1773924405946219,-0.18157721678983796,-0.15301596187213096,-0.21236459821172238,-0.14150100675267283,-0.11468856337179556,-0.19472447511435695,-0.16350794411799477,-0.22043870539459182,-0.143288133432454,-0.08752789762357199,-0.1249475819184641,-0.1547829071289496
1292.13,-0.11631264220983896,-0.12962913481764834,-0.11793046725645645,-0.11856688781192763,-0.11053780156579332,-0.12220386272121478,-0.10434830863114174,-0.12278585238860183,-0.12117218408838228,-0.13328300864462655,-0.11671461863360874,-0.17484298214839852,-0.15084696981994894,-0.1187487955693353,-0.12320050163663422,-0.07152994633757027,-0.11853752114171676,-0.17890610438662594,-0.12043740860552991,-0.14551219420107128,-0.19004929731389797,-0.1750230740974129,-0.1737485108050966,-0.28051179858707354,-0.19849455444177205,-0.17444819274683113,-0.1341306995872081,-0.08169885346091853,-0.16224445269884244,-0.168358321995788,-0.18471658626756213,-0.14132249178744957,-0.21621337287853265,-0.15519238924403086,-0.14958884029139347,-0.15954757466747413,-0.11272227547684914,-0.12986821310237467,-0.12029714992188027,-0.09205149655780522,-0.13921304570227852,-0.1450107882668736,-0.1614023700759889,-0.12282523898965893,-0.13850494857038934,-0.09363305708190214,-0.0982581163379511,-0.1119032909627641,-0.10426201339340375,-0.09205149655780522,-0.12029714992188027,-0.12986821310237467,-0.11272227547684914,-0.07829095902154186,-0.13233949477924134,-0.14884703175573025,-0.14916053146404318,-0.1372242588029818,-0.12885270354791584,-0.1447803108530614,-0.10662793019809547,-0.1263378546399655,-0.13398660400589402,-0.14902989604188704,-0.19972741636837937,-0.13685727868508044,-0.12581530351255937,-0.13392442124404313,-0.13014910306256572,-0.17227361951483738,-0.1488552763751466,-0.14695281153744538,-0.14371214978432756,-0.1475708822786655,-0.11151736844067103,-0.13237465975787818,-0.11764062516884315,-0.120011631954866,-0.1213730335267613,-0.1227289075831647,-0.10846280662539015,-0.0871286932842553,-0.03348598712801462,-0.12248515636183889,-0.14330579318932213,-0.09210435569794395,-0.10706942356730147,-0.14159607090577592,-0.10198845292342903,-0.12185145552957907,-0.181206926120176,-0.16524597163342072,-0.16670874693951038,-0.15181188020809253,-0.15491217530156134,-0.21192210729574265,-0.20911299688273377,-0.18316812322981624,-0.18762204090832169,-0.15301596187213096,-0.21817396412024975,-0.14150100675267283,-0.11468856337179556,-0.19472447511435695,-0.16350794411799477,-0.22549582863599715,-0.143288133432454,-0.08752789762357199,-0.11717365632183535,-0.1614518815845147
1288.27,-0.09769625487939955,-0.10654449437067014,-0.08515644191440074,-0.09403038394459072,-0.09152811594619854,-0.09795994252048208,-0.08585019937380325,-0.11127237234094321,-0.10407068162958769,-0.11493339655038688,-0.0994180887031056,-0.17484298214839852,-0.1444232772015926,-0.1187487955693353,-0.13352234817547146,-0.06445555604044795,-0.11269552873498513,-0.17367048302263513,-0.11388032307419113,-0.13886832035852478,-0.18314485148693757,-0.1750230740974129,-0.1737485108050966,-0.2649444415683672,-0.19849455444177205,-0.17444819274683113,-0.12836534622508372,-0.07430328993679668,-0.15684015349150762,-0.168358321995788,-0.17870829030056054,-0.13403043818695054,-0.20117579545140332,-0.1483854503343583,-0.13389910984397702,-0.14314417727196055,-0.0963492075304912,-0.11503337694618446,-0.11367995831827891,-0.08514542083015965,-0.12494416585368757,-0.13081604890086299,-0.1553978939873114,-0.09930551237461782,-0.12303839740576455,-0.08676467609219521,-0.09050874012525122,-0.10572166440816382,-0.09008165237389977,-0.08514542083015965,-0.11367995831827891,-0.11503337694618446,-0.0963492075304912,-0.06364075157568759,-0.12521890572926606,-0.13274802300563046,-0.14916053146404318,-0.1211609888880755,-0.12116294771261558,-0.137989652857548,-0.09044178964256225,-0.10998208258699067,-0.11787930098129636,-0.14204131975455206,-0.17699579407742574,-0.1290559137125326,-0.11813042201374994,-0.1187190284390426,-0.1129332239689307,-0.15639961795292678,-0.13191357663206082,-0.13049184557298285,-0.13663392561056775,-0.13985087636469104,-0.10395138867403808,-0.11777726560927138,-0.09340120078712082,-0.09513030719635569,-0.1037979779294456,-0.10636038984337533,-0.08491893208889544,-0.0803190358933015,-0.016937473953874415,-0.10895280197625366,-0.13761828375813126,-0.08526448923227622,-0.09970486004150825,-0.13418365914023866,-0.09457917071787718,-0.1143261874921229,-0.18676789932832305,-0.17027230172080152,-0.16670874693951038,-0.1449220470101302,-0.15491217530156134,-0.21192210729574265,-0.21386279704489256,-0.18316812322981624,-0.18157721678983796,-0.15918298479291612,-0.21236459821172238,-0.14150100675267283,-0.10823888208628757,-0.19472447511435695,-0.1573724632129898,-0.22549582863599715,-0.13729966705931695,-0.08023130765423966,-0.10939973072520662,-0.1547829071289496
1284.41,-0.07907986754896049,-0.0834598539236916,-0.05893722164075652,-0.07562800604408838,-0.0788549921998018,-0.08583798242011573,-0.06118605369735147,-0.0940021522694548,-0.09266967999039129,-0.09658378445614722,-0.08212155877260245,-0.16336339241138245,-0.13157589196487993,-0.11265644341778425,-0.13352234817547146,-0.05738116574332601,-0.10101154392152191,-0.16843486165864432,-0.10732323754285236,-0.12558057267343178,-0.16933595983301672,-0.16878272679605763,-0.16690041386583557,-0.24159340604030768,-0.19277157197018818,-0.16782787534450247,-0.12836534622508372,-0.05951216288855296,-0.15684015349150762,-0.17351012627812254,-0.17269999433355893,-0.11944633098595245,-0.17861942931070932,-0.14157851142468572,-0.11820937939656058,-0.11853908117869022,-0.0717896056109543,-0.09278112271189914,-0.10044557511107621,-0.07133326937486854,-0.10354084608080115,-0.10952393985184702,-0.1433889418099564,-0.07578578575957673,-0.09983857065882736,-0.07302791411278171,-0.06726061148715157,-0.09954003785356352,-0.0759012913543958,-0.07133326937486854,-0.10044557511107621,-0.09278112271189914,-0.0717896056109543,-0.04899054412983331,-0.11097772762931547,-0.11664901425553066,-0.14254374201142023,-0.10509771897316919,-0.10578343604201508,-0.1311989948620346,-0.07425564908702903,-0.09362631053401586,-0.10177199795669871,-0.12107559089254712,-0.15426417178647212,-0.11345318376743692,-0.09507577751732163,-0.09591093923154183,-0.08710940532847818,-0.13258861561006088,-0.10650102701743222,-0.11403087960852032,-0.12955570143680797,-0.11669085862276762,-0.08125344937413922,-0.1031798714606646,-0.06916177640539849,-0.0702489824378454,-0.0686478667348142,-0.08180761323369128,-0.06137505755240073,-0.07350937850234768,-0.0003889607797342099,-0.09542044759066805,-0.13193077432694036,-0.07842462276660851,-0.08497573298992181,-0.11935883560916412,-0.07976060630677345,-0.09175038337975434,-0.18676789932832305,-0.17027230172080152,-0.15581214169262614,-0.13114238061420555,-0.14157536550738714,-0.20699172619540424,-0.21386279704489256,-0.1773924405946219,-0.17553239267135423,-0.15301596187213096,-0.21236459821172238,-0.13510393650921737,-0.09533951951527087,-0.18958569907096465,-0.15123698230798488,-0.22043870539459182,-0.1313112006861799,-0.06563812771557499,-0.09385187953194912,-0.14144495821781933
1280.56,-0.0666689426620009,-0.07191753370020233,-0.04582761150393423,-0.06335975411041993,-0.06618186845340505,-0.07371602231974939,-0.04885398085912558,-0.08824541224562533,-0.0869691791707931,-0.09046724709140101,-0.07635604879576807,-0.1576235975428744,-0.12515219934652358,-0.10656409126623317,-0.13868327144489007,-0.05030677544620368,-0.09516955151479028,-0.16319924029465352,-0.09420906648017481,-0.11893669883088527,-0.1624315140060563,-0.16254237949470235,-0.16005231692657457,-0.22602604902160134,-0.19277157197018818,-0.15458724053984516,-0.12259999286295904,-0.05211659936443151,-0.1514358542841725,-0.17351012627812254,-0.1666916983665573,-0.10486222378495438,-0.16358185188358,-0.12796463360534055,-0.09467478372543592,-0.09393398508541986,-0.03904346971823841,-0.07052886847761382,-0.08721119190387351,-0.05752111791957743,-0.0892719662322102,-0.0953292004858364,-0.13738446572127921,-0.060105968016215996,-0.07663874391189017,-0.059291152133367844,-0.04401248284905191,-0.09335841129896323,-0.061720930334891816,-0.05752111791957743,-0.08721119190387351,-0.07052886847761382,-0.03904346971823841,-0.03434033668397904,-0.10385713857934019,-0.10055000550543086,-0.12931016310617427,-0.08903444905826288,-0.09040392437141458,-0.1244083368665212,-0.05806950853149582,-0.06909265245455365,-0.08566469493210106,-0.11408701460521213,-0.13910975692583635,-0.09004908884979337,-0.07970601451970276,-0.07310285002404104,-0.06128558668802566,-0.10877761326719498,-0.08108847740280359,-0.08933943066182652,-0.11539925308928838,-0.09353084088084421,-0.06612148984087332,-0.08128378023775441,-0.04492235202367615,-0.037073882759831665,-0.04228528333884064,-0.04907057775411254,-0.04567914119473759,-0.05989006372044005,0.016159552394405995,-0.08188809320508245,-0.13193077432694036,-0.06474488983527309,-0.07024660593833536,-0.10453401207808959,-0.06494204189566972,-0.07669984730484199,-0.18676789932832305,-0.17027230172080152,-0.15036383906918405,-0.12425254741624324,-0.13490696061030003,-0.20699172619540424,-0.21386279704489256,-0.1773924405946219,-0.1694875685528705,-0.15301596187213096,-0.21236459821172238,-0.1287068662657619,-0.08888983822976251,-0.18444692302757235,-0.14510150140297992,-0.22549582863599715,-0.12532273431304286,-0.05104494777691033,-0.08607795393532039,-0.1347759837622542
1276.7,-0.06046348021852108,-0.0661463735884577,-0.03927280643552309,-0.057225628143585706,-0.059845306580206675,-0.07371602231974939,-0.04885398085912558,-0.08824541224562533,-0.0869691791707931,-0.09046724709140101,-0.07635604879576807,-0.1576235975428744,-0.11872850672816723,-0.10047173911468212,-0.13868327144489007,-0.04323238514908135,-0.08932755910805867,-0.15272799756667219,-0.08109489541749762,-0.10564895114579226,-0.15552706817909587,-0.16254237949470235,-0.16005231692657457,-0.2026750134935418,-0.18704858949860428,-0.1479669231375165,-0.12259999286295904,-0.02992990879206594,-0.1460315550768374,-0.17351012627812254,-0.1546751064325541,-0.09757017018445534,-0.14854427445645066,-0.12115769469566799,-0.07898505327801948,-0.0775305876899063,-0.014483867798701498,-0.048276614243328506,-0.08059400030027253,-0.04370896646428632,-0.06786864645932417,-0.08113446111982577,-0.13137998963260172,-0.044426150272855264,-0.05343891716495297,-0.04555439015395397,-0.028513730423652146,-0.08717678474436295,-0.047540569315388234,-0.04370896646428632,-0.08059400030027253,-0.048276614243328506,-0.014483867798701498,-0.019690129238124764,-0.08961596047939001,-0.07640149238028118,-0.12269337365355167,-0.06493954418590343,-0.07502441270081407,-0.11082702087549477,-0.0418833679759626,-0.05273688040157884,-0.06150374039520459,-0.10010986203054217,-0.11637813463488272,-0.06664499393214984,-0.056651370023274444,-0.05789745721904053,-0.035461768047573144,-0.09290361170528437,-0.05567592778817497,-0.07287846469736399,-0.10124280474176879,-0.0703708231389208,-0.043423550540974465,-0.05938768901484423,-0.012603119514713034,-0.012192558001321362,-0.01592269994286709,-0.024517801144428492,-0.022135266658242878,-0.05308040632948624,0.032708065568546205,-0.06835573881949684,-0.1262432648957495,-0.057905023369605374,-0.055517478886748926,-0.08970918854701505,-0.05753275969011787,-0.06917457926738581,-0.18676789932832305,-0.16524597163342072,-0.14491553644574193,-0.11047288102031859,-0.12823855571321294,-0.20206134509506582,-0.21386279704489256,-0.17161675795942757,-0.16344274443438675,-0.15301596187213096,-0.206555232303195,-0.12230979602230642,-0.08888983822976251,-0.17930814698418002,-0.14510150140297992,-0.22549582863599715,-0.11933426793990581,-0.03645176783824566,-0.07053010274206291,-0.12143803485112395
1272.84,-0.05425801777504128,-0.0661463735884577,-0.03927280643552309,-0.057225628143585706,-0.0535087447070083,-0.07371602231974939,-0.04885398085912558,-0.08824541224562533,-0.0869691791707931,-0.08435070972665445,-0.07635604879576807,-0.15188380267436669,-0.10588112149145455,-0.08828703481157998,-0.13868327144489007,-0.029083604554836686,-0.08348556670132706,-0.14749237620268138,-0.06798072435482007,-0.09236120346069925,-0.14171817652517504,-0.15630203219334704,-0.16005231692657457,-0.18710765647483546,-0.1813256070270204,-0.13472628833285918,-0.11683463950083435,-0.015138781743822223,-0.1460315550768374,-0.17351012627812254,-0.1486668104655525,-0.08298606298345726,-0.11846911960219202,-0.10073687796665026,-0.05545045760689482,-0.04472379289887918,0.01007573412083541,-0.01860694193094849,-0.06735961709306981,-0.029896815008995204,-0.04646532668643774,-0.05984235207080982,-0.1253755135439242,-0.020906423657814165,-0.030239090418015778,-0.0318176281745401,0.0024837744271473876,-0.08099515818976266,-0.03336020829588426,-0.029896815008995204,-0.06735961709306981,-0.01860694193094849,0.01007573412083541,-0.005039921792270488,-0.07537478237943943,-0.05225297925513148,-0.10945979474830572,-0.04887627427099713,-0.05964490103021357,-0.10403636287998136,-0.017604157142662773,-0.02820322232211662,-0.0292891343460093,-0.0861327094558722,-0.08606930491361121,-0.0432408990145063,-0.04128160702565557,-0.03508936801153975,-0.009637949407120623,-0.06909260936241847,-0.03026337817354635,-0.0481870157506702,-0.08000813222048979,-0.047210805396997395,-0.02829159100770856,-0.044790294866237444,0.011636304867009301,0.01268876675718848,0.010439883453106466,3.497546525556023e-05,0.0014086078782518314,-0.03946109154757861,0.04925657874268641,-0.061589561626704044,-0.1262432648957495,-0.04422529043826994,-0.03342378830936926,-0.07488436501594052,-0.035304913073462285,-0.04659877515501727,-0.18676789932832305,-0.16021964154603993,-0.1394672338222998,-0.09669321462439394,-0.10823334102195162,-0.20206134509506582,-0.20911299688273377,-0.16584107532423326,-0.15739792031590302,-0.1468489389513458,-0.20074586639466763,-0.11591272577885096,-0.07599047565874581,-0.17930814698418002,-0.13283053959297003,-0.22549582863599715,-0.10735733519363205,-0.021858587899581405,-0.05498225154880542,-0.10810008593999369
